label,area,perimeter,equivalent_diameter,centroid-0,centroid-1
946,33.0,19.556349186104047,6.4820448144285745,1281.7272727272727,2957.0
947,27.0,16.727922061357855,5.863230142835039,1281.6666666666667,148.22222222222223
948,436.0,158.35028842544403,23.56124872549269,1295.7935779816514,1418.0504587155963
949,219.0,75.9827560572969,16.698486766680407,1291.0091324200914,1239.2100456621004
950,50.0,24.970562748477143,7.978845608028654,1287.5,2010.24
951,13.0,11.313708498984761,4.068428945128219,1289.0,58.0
952,530.0,141.6223663640862,25.977239243415305,1310.3415094339623,3456.0641509433963
953,160.0,50.18376618407357,14.27299292922217,1296.08125,3999.05625
954,13.0,11.313708498984761,4.068428945128219,1292.0,1405.0
955,675.0,224.93607486307096,29.316150714175198,1330.9007407407407,6.005925925925926
956,13.0,11.313708498984761,4.068428945128219,1296.0,2601.0
957,18.0,13.313708498984761,4.787307364817192,1296.5,3296.0
958,115.0,43.112698372208094,12.100518486599809,1301.9304347826087,1727.9739130434782
959,21.0,14.727922061357855,5.170882945826411,1299.2857142857142,1013.7142857142857
960,28.0,17.556349186104047,5.970821321441846,1300.2142857142858,3217.214285714286
961,95.0,43.59797974644667,10.998079684646791,1306.3473684210526,3984.8842105263157
962,163.0,62.083261120685236,14.406180819073164,1311.196319018405,164.08588957055215
963,18.0,13.313708498984761,4.787307364817192,1305.0,1132.5
964,35.0,22.627416997969522,6.6755811781245455,1307.057142857143,3771.342857142857
965,172.0,67.15432893255071,14.798554040663838,1314.0581395348838,3646.813953488372
966,51.0,25.213203435596427,8.058239062071396,1311.2549019607843,211.5686274509804
967,23.0,16.14213562373095,5.4115163798060095,1312.0,1506.608695652174
968,146.0,65.25483399593904,13.63425735166143,1315.6027397260275,3999.568493150685
969,189.0,68.8111831820431,15.512648837479231,1324.8148148148148,3359.074074074074
970,99.0,43.698484809834994,11.227230955528665,1326.7676767676767,155.21212121212122
971,48.0,23.79898987322333,7.817640190446719,1325.9791666666667,3257.6666666666665
972,592.0,230.23253941935258,27.45465007031079,1337.5793918918919,1723.6266891891892
973,13.0,11.313708498984761,4.068428945128219,1328.0,1856.0
974,84.0,36.2842712474619,10.341765891652821,1332.392857142857,2208.0119047619046
975,31.0,21.31370849898476,6.282549314314218,1331.032258064516,4004.7741935483873
976,13.0,11.313708498984761,4.068428945128219,1331.0,3426.0
977,13.0,11.313708498984761,4.068428945128219,1335.0,1481.0
978,143.0,51.59797974644666,13.493452297211721,1342.6433566433566,224.56643356643357
979,27.0,16.727922061357855,5.863230142835039,1337.2222222222222,2709.3333333333335
980,46.0,30.45584412271571,7.653039857325812,1338.804347826087,2387.478260869565
981,26.0,16.727922061357855,5.753627391751592,1340.7692307692307,149.76923076923077
982,18.0,13.313708498984761,4.787307364817192,1342.0,3506.5
983,48.0,25.213203435596427,7.817640190446719,1344.625,3568.3541666666665
984,266.0,96.98885271170678,18.403307281560924,1349.954887218045,2213.1654135338345
985,13.0,11.313708498984761,4.068428945128219,1345.0,774.0
986,29.0,18.14213562373095,6.076507779746499,1346.5862068965516,579.4827586206897
987,33.0,20.384776310850235,6.4820448144285745,1349.2727272727273,2155.5454545454545
988,24.0,16.14213562373095,5.527906391541368,1348.5,3701.0
989,21.0,15.899494936611665,5.170882945826411,1348.5714285714287,4005.6190476190477
990,18.0,14.142135623730951,4.787307364817192,1350.5,146.5
991,13.0,11.313708498984761,4.068428945128219,1350.0,3138.0
992,24.0,16.14213562373095,5.527906391541368,1354.0,1605.875
